k,c,m,t,x
200,2,1,0.10842368640533778,0.10058858205772218
200,2,1,0.10925771476230191,0.0899901765124154
200,2,1,0.11009174311926605,0.07939692606033476
200,2,1,0.11092577147623019,0.06881029460412617
200,2,1,0.11175979983319433,0.05823174268653733
200,2,1,0.11259382819015847,0.047662727292997885
200,2,1,0.11342785654712259,0.03710470165502287
200,2,1,0.11426188490408673,0.02655911505446473
200,2,1,0.11509591326105087,0.01602741262864332
200,2,1,0.11592994161801501,0.00551103517637299
200,2,1,0.11676396997497915,-0.004988581035081073
200,2,1,0.11759799833194329,-0.015470004462096044
200,2,1,0.11843202668890741,-0.0259318084758075
200,2,1,0.11926605504587155,-0.036372571552224765
200,2,1,0.12010008340283569,-0.0467908774613178
200,2,1,0.12093411175979983,-0.0571853154550551
200,2,1,0.12176814011676397,-0.0675544804543651
200,2,1,0.1226021684737281,-0.07789697323499835
200,2,1,0.12343619683069224,-0.08821140061226579
200,2,1,0.12427022518765637,-0.09849637562462996
200,2,1,0.12510425354462051,-0.10875051771612489
200,2,1,0.12593828190158465,-0.11897245291758174
200,2,1,0.1267723102585488,-0.12916081402663676
200,2,1,0.12760633861551293,-0.1393142407864986
200,2,1,0.12844036697247707,-0.1494313800634522
200,2,1,0.12927439532944118,-0.15951088602307675
200,2,1,0.13010842368640532,-0.16955142030515585
200,2,1,0.13094245204336946,-0.17955165219725575
200,2,1,0.1317764804003336,-0.18951025880695285
200,2,1,0.13261050875729774,-0.1994259252326863
200,2,1,0.13344453711426188,-0.20929734473321526
200,2,1,0.13427856547122602,-0.2191232188956595
200,2,1,0.13511259382819016,-0.22890225780210205
200,2,1,0.1359466221851543,-0.23863318019473367
200,2,1,0.13678065054211844,-0.24831471363951807
200,2,1,0.13761467889908258,-0.2579455946883579
200,2,1,0.1384487072560467,-0.2675245690397405
200,2,1,0.13928273561301083,-0.2770503916978478
200,2,1,0.14011676396997497,-0.28652182713010227
200,2,1,0.1409507923269391,-0.29593764942313916
200,2,1,0.14178482068390325,-0.3052966424371803
200,2,1,0.14261884904086738,-0.31459759995879066
200,2,1,0.14345287739783152,-0.32383932585200437
200,2,1,0.14428690575479566,-0.3330206342077923
200,2,1,0.1451209341117598,-0.34214034949186545
200,2,1,0.14595496246872394,-0.3511973066907834
200,2,1,0.14678899082568808,-0.3601903514563632
200,2,1,0.1476230191826522,-0.3691183402483586
200,2,1,0.14845704753961633,-0.37798014047540596
200,2,1,0.14929107589658047,-0.38677463063420725
200,2,1,0.1501251042535446,-0.3955007004469425
200,2,1,0.15095913261050875,-0.4041572509968946
200,2,1,0.1517931609674729,-0.4127431948622644
200,2,1,0.15262718932443703,-0.42125745624816996
200,2,1,0.15346121768140117,-0.42969897111680494
200,2,1,0.1542952460383653,-0.43806668731575016
200,2,1,0.15512927439532945,-0.4463595647044149
200,2,1,0.15596330275229356,-0.4545765752786014
200,2,1,0.1567973311092577,-0.4627167032931738
200,2,1,0.15763135946622184,-0.4707789453828157
200,2,1,0.15846538782318598,-0.47876231068087044
200,2,1,0.15929941618015012,-0.486665820936242
200,2,1,0.16013344453711426,-0.4944885106283503
200,2,1,0.1609674728940784,-0.5022294270801223
200,2,1,0.16180150125104253,-0.5098876305690132
200,2,1,0.16263552960800667,-0.5174621944360378
200,2,1,0.1634695579649708,-0.5249522051928087
